,id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer
16584,27491,Clarkson's Top 100 Cars,9.0,1,Released,2001-11-19,,72.0,,tt0446299,en,Clarkson's Top 100 Cars,"This video continued the trend of its predecessors, with Clarkson driving some super cars around a track and destroying a """"bad"""" one, this time around a Morris Marina, which he disposes of by hooking up to a crane and knocking down a few other despised cars in a giant game of Car Skittles. Elsewhere the video focuses on Clarkson's personal top 100 cars, which he promoted on Granada Television's Men & Motors channel in 2001.",2.301,,Documentary,On the Box Productions,United Kingdom,English,"Jeremy Clarkson, Lorett Pearce-Jones, Sam Jordan, Claire Millin",,,,,
16675,27593,"Scotland, PA",5.781,31,Released,2001-03-15,,104.0,,tt0265713,en,"Scotland, PA","Joe McBeth is a hard-working but unambitious doofus who toils at a hamburger stand alongside his wife Pat, who is much smarter. Pat believes she could do better with the place than their boss Norm is doing, so she plans to usurp Norm, convincing Mac to rob the restaurant's safe and then murder Norm, using the robbery as a way of throwing the cops off their trail.",4.866,,"Comedy, Crime","Veto Chip Productions, Abandon Pictures, Paddy Wagon Productions",United States of America,English,"Kevin Corrigan, Tom Guiry, Timothy ""Speed"" Levitch, Christopher Walken, Andy Dick, James Le Gros, James Rebhorn, Amy Smart, Maura Tierney",Billy Morrissette,Wally Pfister,"William Shakespeare, Billy Morrissette","Richard Shepard, Maura Tierney",
16682,27601,Citizen Toxie: The Toxic Avenger IV,6.2,131,Released,2001-11-01,,109.0,500000.0,tt0212879,en,Citizen Toxie: The Toxic Avenger IV,"A horrific explosion creates a dimensional portal between Tromaville and its dimensional mirror image, Amortville. While the Toxie is trapped in the mirror dimension, Tromaville comes under the control of his evil doppelganger, the Noxious Offender.",12.559,A Tale of Two Toxies!!!,"Comedy, Horror, Science Fiction",Troma Entertainment,United States of America,English,"Trent Haaga, Corey Feldman, Taylor Mead, Mark Torgl, Heidi Sjursen, Bella Compagna, Devin DeVasquez, Rick Collins, Clyde Lewis, Charlotte Kaufman, Masuimi Max, Ron Jeremy, Randy Sklar, Barry Brisco, James Gunn, Hugh Hefner, Eli Roth, Lemmy, Kevin Eastman, Brandi Brandt, Tom Fulp, Julie Strain, Petra Verkaik, Jasi Cotton Lanier, Lisa Gaye, Tromelissa Saytar, David Mattey, Lisa Terezakis, Melissa Bacelar, Doria Rone, Dan Snow, Al Goldstein, Stan Lee, Yaniv Sharon, Tiffany Shepis, Lloyd Kaufman, Celeste Octavia, Michael Budinger, Jason Sklar, Paul Kyrmse, Mitch Cohen, Terri Firmer, Joe Fleishaker, Debbie Rochon, Will Keenan, Hank the Angry Drunken Dwarf, Taimie Hannum, Neriah Davis",Lloyd Kaufman,Brendan Flynt,"Trent Haaga, Gabriel Friedman, Patrick Cassidy, Lloyd Kaufman","Lloyd Kaufman, James Coleman, Andrew Lerner, Michael Herz, Weston Quasha, Ken Squire",Wes Nagy
16714,27639,Laundry,5.8,8,Released,2002-02-28,,126.0,,tt0303357,ja,ランドリー,"A young man named Teru, mentally altered by a childhood injury, runs a laundry and falls for Mizue, a lonely young woman with internal scars.",3.213,,"Drama, Romance","Hakuhodo DY Media Partners, NHK, Media Factory, Robot Communications",Japan,日本語,"Koyuki, Katsumi Muramatsu, Kenichiro Tanabe, Miho Miyazawa, Yosuke Kubozuka, Kazue Tsunogae, Takashi Naito, Hana Kino, Risa Nishimura",Junichi Mori,Kôzô Shibasaki,Junichi Mori,"Yasutaka Otsuka, Chikahiro Ando, Shuji Abe, Keiichiro Moriya, Noriyuki Nishimura, Toru Horibe, Yasuo Masuhiro, Tsutomu Takano",Zentaro Watanabe
16756,27685,Time Enough: The Alien Conspiracy,5.0,1,Released,2002-06-15,,96.0,,tt0267253,en,Time Enough: The Alien Conspiracy,,1.241,,"Science Fiction, Horror",,,,"Sarah K. Lippmann, Debbie Rochon, Chris Mack, Jeff Dylan Graham, Paula Pointer-Ford, Sasha Graham, Mick McCleery, Ron Ford, Evan King, John Fallon, Candice Meade","Ron Ford, Kevin J. Lindenmuth, Alexandre Michaud",Ron Ford,"Ron Ford, Kevin J. Lindenmuth, Alexandre Michaud","Paula Pointer-Ford, Ron Ford, Kevin J. Lindenmuth, Alexandre Michaud",
16790,27723,Psycho Beach Party,5.747,81,Released,2000-08-06,268117.0,95.0,1500000.0,tt0206226,en,Psycho Beach Party,Chicklet is a sixteen-year old tomboy who's desperate to be part of the in-crowd of Malibu beach surfers. She's the typical American girl - except for one little problem: her personality is split into more slices than a pepperoni pizza.,8.045,Party till you drop. Dead.,"Comedy, Horror","New Oz Productions, Red Horse Films","Australia, United States of America",English,"Charles Busch, Mark Edgar Stephens, John Cirigliano, Channon Roe, Ruth Williamson, Madison Eginton, Stephen Wozniak, Thomas Gibson, Nicholas D'Agosto, Angus Kennedy, James Lester, Buddy Quaid, Marisa Swain, Kathleen Robertson, Mike ""Boogie"" Malin, Thomas Brungardt, Richard Fancy, Tera Bonilla, Reggie Lee, Andrew McKay, Beth Broderick, Larry Sullivan, Andrew Levitas, Michael Manasseri, Jolie Jenkins, Eddie Angel, Kimberley Davies, Jenica Bergere, Nathan Bexton, James Leo Ryan, Amy Adams, Danny Brewingtion, John Willford, Nick Cornish, Rona Benson, David Chokachi, Pete Curry, Danny Amis, Nicholas Brendon, Lauren Ambrose, Matt Keeslar, Danni Wheeler, Charlie Finn",Robert Lee King,Arturo Smith,Charles Busch,"Jon Gerrans, Victor Syrmis, Marcus Hu, Virginia Biddle, John Hall",Ben Vaughn
16809,27742,Séance,7.176,37,Released,2000-08-07,,96.0,,tt0259388,ja,降霊,"A psychic housewife and her husband accidentally find a kidnapped girl. But instead of informing the police, they hatch a scheme to get famous by working with the police as a psychic consultant to """"find"""" the girl. And then, things start to go terribly wrong.",4.657,,"Drama, Horror, TV Movie","Twins Japan, Kansai Television",Japan,日本語,"Tsuyoshi Kusanagi, Koji Sato, Daikei Shimizu, Hajime Inoue, Ren Osugi, Koji Yakusho, Show Aikawa, Hikari Ishida, Michisuke Kashiwaya, Kazuya Horiguchi, Kitaro, Shiuri Isobe, Megumi Wakabayashi, Ryuji Yamamoto, Jun Fubuki, Ittoku Kishibe, Masahiro Toda",Kiyoshi Kurosawa,Takahide Shibanushi,"Tetsuya Onishi, Mark McShane, Kiyoshi Kurosawa","Takehiko Tanaka, Atsuyuki Shimoda, Yasuyuki Uemura",Gary Ashiya
16811,27744,Divine Intervention,6.478,45,Released,2002-04-11,1675596.0,92.0,,tt0274428,ar,يد إلهية‎,"Santa Claus tries to outrun a gang of knife-wielding youth. It's one of several vignettes of Palestinian life in Israel - in a neighborhood in Nazareth and at Al-Ram checkpoint in East Jerusalem. Most of the stories are droll, some absurd, one is mythic and fanciful; few words are spoken. A man who goes through his mail methodically each morning has a heart attack. His son visits him in hospital. The son regularly meets a woman at Al-Ram; they sit in a car, hands caressing. Once, she defies Israeli guards at the checkpoint; later, Ninja-like, she takes on soldiers at a target range. A red balloon floats free overhead. Neighbors toss garbage over walls. Life goes on until it doesn't.",6.336,,"Drama, Romance, Comedy","Soread-2M, Ognon Pictures, Filmstiftung Nordrhein-Westfalen, Gimages, Lichtblick Film- und Fernsehproduktion (I), Ness Communication & Productions Ltd., ARTE France Cinéma","Palestinian Territory, France, Morocco, Germany","English, العربية, עִבְרִית","Bassem Loulou, David Belle, Hamada Shamout, Salwa Nakkara, Saiman Natour, Amer Daher, Khalil Jarjoura, Naaman Jarjoura, Read Masarweh, Elia Suleiman, Lufuf Nuweiser, Rama Nashashibi, Manal Khader, George Ibrahim, Jamel Daher, Fairos Hakim",Elia Suleiman,Marc-André Batigne,Elia Suleiman,Humbert Balsan,
16812,27745,The Filth and the Fury,7.0,71,Released,2000-03-29,,108.0,,tt0236216,en,The Filth and the Fury,"Julien Temple's second documentary profiling punk rock pioneers the Sex Pistols is an enlightening, entertaining trip back to a time when the punk movement was just discovering itself. Featuring archival footage, never-before-seen performances, rehearsals, and recording sessions as well as interviews with group members who lived to tell the tale--including the one and only John Lydon (aka Johnny Rotten).",7.431,"A Sex Pistols film - uncut, unseen, unbelievable.","Documentary, Music","Nitrate Film, Film4 Productions",United Kingdom,English,"Malcolm McLaren, Shane MacGowan, John Lydon, Paul Cook, Bryan Ferry, Richard Branson, Billy Idol, Nancy Spungen, Stewart Copeland, Siouxsie Sioux, Helen Wellington-Lloyd, Johnny Thunders, Bill Grundy, Sid Vicious, David Bowie, Sting, Laurence Olivier, Glen Matlock, Pamela Rooke, Michael Bentine, Alice Cooper, Vivienne Westwood, Benny Hill, Steve Jones, David Johansen, Susan Lucas",Julien Temple,,Julien Temple,,
16846,27788,My Vampire Lover,5.167,6,Released,2002-06-25,,100.0,,tt0349852,en,My Vampire Lover,When drop-dead gorgeous lesbian vampire Monique moves into the neighborhood and starts seducing every female she sees it is up to Chip the cable guy and two detectives to stop the fanged femme-fatale.,1.039,,"Horror, Comedy",Seduction Cinema,United States of America,English,"Katie Jordan, Tom Dobbie, Curtis Marler, Pete Carlson, Syn DeVil, Darian Caine, Ruby LaRocca, Matthew August, Ann Broadway, Erin Brown, Allanah Rhodes, Raymond P. Meyer, Charles Tioga, Paige Richards, Stu Steckler, Nick Duchensky, Misty Raynes, Donnie Dutch, George Freeway, Brock Chopoli",George Freeway,,,"Michael L. Raso, John Bacchus",
